date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:58	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont.eot?	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfontd41d.eot	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/font-awesome.css)
10:34:01	152796/152796	---M--	200	added ('OK')	font/ttf	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont3e6e.ttf	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/font-awesome.css)
10:34:01	90412/90412	---M--	200	added ('OK')	font/woff	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont3e6e.woff	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/font-awesome.css)
10:34:02	2529/2529	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2005:34:02%20GMT	https://demo.w3layouts.com/images/W3Layouts-light.png	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/images/W3Layouts-light.html	(from https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css)
10:34:02	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/codefund.io/properties/441/funder.30.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/services.html)
10:34:02	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/codefund.io/properties/441/funder.31.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/codes.html)
10:34:02	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/codefund.io/properties/441/funder.32.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/icons.html)
10:34:03	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/codefund.io/properties/441/funder.33.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/jobs.html)
10:34:03	391622/391622	---MCZ	200	added ('OK')	image/svg+xml	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont3e6e.svg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/font-awesome.css)
10:34:05	34761/34761	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2005:34:04%20GMT	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/location_single.html	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/location_single.html	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/jobs.html)
10:34:06	12342/12342	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/loc1.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/loc1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/jobs.html)
10:34:06	10607/10607	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/loc2.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/loc2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/jobs.html)
10:34:08	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/codefund.io/properties/441/funder.39.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/login.html)
10:34:08	14075/14075	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/loc4.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/loc4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/jobs.html)
